username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
salle_aurelien;2015-11-29 20:36;2;0;"the #barkbeetleTomicus piniperda could vector #Fusarium circinatum, the #pitch canker disease http:// link.springer.com/article/10.100 7/s13595-015-0515-4 … #springerlink";;;#barkbeetleTomicus #Fusarium #pitch #springerlink;"671050043923808261";https://twitter.com/salle_aurelien/status/671050043923808261
codinginside;2015-11-29 17:25;0;0;"This number increased to 164 confirmed and 32 possible cases of Fusarium keratitis infection in 33 states and territories before the end of";;;;"671002011899437056";https://twitter.com/codinginside/status/671002011899437056
COUNTRY___MAAM;2015-11-29 16:17;1;1;"@Fusarium _ 枝迫先輩のプロフィールがのみの ぴこ だ";;@Fusarium;;"670985001094152193";https://twitter.com/COUNTRY___MAAM/status/670985001094152193
RevistaAttalea;2015-11-29 15:44;0;0;"Ataque de Fusarium em trigo!!! http:// fb.me/24rkFubH1";;;;"670976554869002240";https://twitter.com/RevistaAttalea/status/670976554869002240
dmatheson10;2015-11-29 15:33;0;3;"@CoughlinJon I turned the fan up during wheat to blow out the fusarium .....hello cover crop #winning";;@CoughlinJon;#winning;"670973813421645824";https://twitter.com/dmatheson10/status/670973813421645824
nnonomi_333;2015-11-29 12:43;0;1;"@Fusarium _ 頼んだ";;@Fusarium;;"670931068371922944";https://twitter.com/nnonomi_333/status/670931068371922944
nnonomi_333;2015-11-29 12:39;0;1;"@Fusarium _ 演奏会遅れるのだけは勘弁www 何とかしようね";;@Fusarium;;"670930143846653956";https://twitter.com/nnonomi_333/status/670930143846653956
nnonomi_333;2015-11-29 12:37;0;1;"@Fusarium _ あー理解笑 とりあえず来月東京案内(?)よろしくね";;@Fusarium;;"670929677674909696";https://twitter.com/nnonomi_333/status/670929677674909696
nnonomi_333;2015-11-29 12:34;0;1;"@Fusarium _ 前向き直す時…？？？なに？？？？え？？？？ん？？き、気をつけます…？";;@Fusarium;;"670928833340542976";https://twitter.com/nnonomi_333/status/670928833340542976
nnonomi_333;2015-11-29 12:29;0;2;"@Fusarium _ 振り返ってみるよ。ジャンボリーで交流会できて楽しかった〜〜 スイカ差し入れありがとう……来月会えるね！楽しみ！！3月は無理しない範囲で来れたら来てね";;@Fusarium;;"670927492182491136";https://twitter.com/nnonomi_333/status/670927492182491136
